,generation_protocol,main_rank_mean,secondary_rank_mean,overall_rank_score,wasserstein_distance,acf_mse,predictive_score,correlation_distance,gru_discriminative_effective_score,cnn_discriminative_score,stylized_score
jd_sbts,shared_x0,2.0,2.0,2.0,0.004995849242144057,0.0015250090300557965,0.007723098620772362,0.0,0.10258620689655173,0.043965517241379315,0.7237640226919186
jd_sbts_neural,shared_x0,2.3333333333333335,1.75,2.158333333333333,0.004860748401325305,0.0017199142884853056,0.0078333904966712,0.0,0.05775862068965519,0.04051724137931034,0.7347265560299565
jd_sbts_f,shared_x0,2.6666666666666665,1.5,2.3166666666666664,0.004932595104785891,0.0021211507213853057,0.007771442644298077,0.0,0.051724137931034496,0.027586206896551734,0.7422150056219624
rnn,shared_prefix_len_1,3.6666666666666665,4.0,3.7666666666666666,0.010674696882427968,0.007997396491410996,0.007691054604947567,0.0,0.2775862068965517,0.22931034482758622,4.271507787686198
lightsb,shared_seed_only,4.333333333333333,3.25,4.008333333333333,0.005031616560387008,0.0032389081218673847,0.009236876852810383,0.0,0.10862068965517242,0.05258620689655173,0.749804075103157
