,train_time,gen_time,generation_protocol,wasserstein_distance,acf_mse,correlation_distance,gru_discriminative_score,gru_discriminative_score_std,gru_discriminative_class_balance_gap,gru_discriminative_effective_score,gru_discriminative_effective_score_std,gru_discriminative_accuracy,gru_discriminative_accuracy_std,gru_discriminative_pred_real_rate,gru_discriminative_pred_real_rate_on_real,gru_discriminative_pred_real_rate_on_generated,gru_discriminative_test_real_n,gru_discriminative_test_generated_n,gru_discriminative_repeats,gru_discriminative_hidden_dim,gru_discriminative_num_layers,gru_discriminative_batch_size,cnn_discriminative_score,cnn_discriminative_score_std,cnn_discriminative_repeats,cnn_discriminative_channels,cnn_discriminative_batch_size,predictive_score,predictive_hidden_dim,predictive_num_layers,predictive_batch_size,predictive_iterations,predictive_train_generated_n,predictive_test_real_n,turing_test_accuracy,turing_test_score,turing_test_auc,turing_test_train_n,turing_test_test_n,turing_test_epochs,turing_test_hidden_dim,turing_test_batch_size,stylized_volatility_clustering,stylized_fat_tails,stylized_leverage_effect,tail_gru_discriminative_score,tail_gru_discriminative_score_std,tail_gru_discriminative_class_balance_gap,tail_gru_discriminative_effective_score,tail_gru_discriminative_effective_score_std,tail_gru_discriminative_accuracy,tail_gru_discriminative_accuracy_std,tail_gru_discriminative_pred_real_rate,tail_gru_discriminative_pred_real_rate_on_real,tail_gru_discriminative_pred_real_rate_on_generated,tail_gru_discriminative_test_real_n,tail_gru_discriminative_test_generated_n,tail_gru_discriminative_repeats,tail_gru_discriminative_hidden_dim,tail_gru_discriminative_num_layers,tail_gru_discriminative_batch_size,tail_cnn_discriminative_score,tail_cnn_discriminative_score_std,tail_cnn_discriminative_repeats,tail_cnn_discriminative_channels,tail_cnn_discriminative_batch_size
jd_sbts,7.521975427000143,0.02754723999896669,shared_x0,0.004995849242144057,0.0015250090300557965,0.0,0.018103448275862067,0.011039869374884236,0.10258620689655173,0.10258620689655173,0.12186618653153306,0.5025862068965516,0.021045785544368457,0.5818965517241379,0.5844827586206897,0.5793103448275861,116,116,5,8,1,32,0.043965517241379315,0.03195474653939764,5,"(8, 16)",32,0.007723098620772362,8,1,32,250,384,384,0.508695652173913,0.008695652173912993,0.5343014900537025,538,230,20,32,64,0.013362124580908494,11.506555987334568,-0.00667291055602671,,,,,,,,,,,,,,,,,,,,,
jd_sbts_f,6.905357585001184,0.019335033000970725,shared_x0,0.004932595104785891,0.0021211507213853057,0.0,0.024137931034482772,0.008446516354424768,0.04827586206896552,0.051724137931034496,0.025862068965517234,0.5086206896551724,0.02407627593753267,0.5310344827586208,0.5396551724137931,0.5224137931034483,116,116,5,8,1,32,0.027586206896551734,0.02290574181997659,5,"(8, 16)",32,0.007771442644298077,8,1,32,250,384,384,0.508695652173913,0.008695652173912993,0.5243551924967854,538,230,20,32,64,0.016519800520486492,10.631460598933963,-0.005546320680463574,,,,,,,,,,,,,,,,,,,,,
jd_sbts_neural,21.185140507999677,0.043835214999489835,shared_x0,0.004860748401325305,0.0017199142884853056,0.0,0.019827586206896543,0.018000528463638883,0.05775862068965519,0.05775862068965519,0.02747823698363661,0.4939655172413794,0.02609094129383026,0.5336206896551724,0.5275862068965518,0.5396551724137931,116,116,5,8,1,32,0.04051724137931034,0.03946732118020551,5,"(8, 16)",32,0.0078333904966712,8,1,32,250,384,384,0.508695652173913,0.008695652173912993,0.5163376446562288,538,230,20,32,64,0.012603120603608482,10.634628846019293,-0.009498890701959278,,,,,,,,,,,,,,,,,,,,,
lightsb,3.416242408000471,0.013610055999379256,shared_seed_only,0.005031616560387008,0.0032389081218673847,0.0,0.08965517241379313,0.040287315329475576,0.058620689655172434,0.10862068965517242,0.03781329689562294,0.5896551724137932,0.040287315329475576,0.5224137931034483,0.6120689655172413,0.43275862068965515,116,116,5,8,1,32,0.05258620689655173,0.0454041175250472,5,"(8, 16)",32,0.009236876852810383,8,1,32,250,384,384,0.508695652173913,0.008695652173912993,0.6733983813629831,538,230,20,32,64,0.14940003647426758,0.7503513883227675,-0.026871262859333965,,,,,,,,,,,,,,,,,,,,,
rnn,4.055244990999199,0.012299916999836569,shared_prefix_len_1,0.010674696882427968,0.007997396491410996,0.0,0.22758620689655173,0.02136122705752392,0.2724137931034483,0.2775862068965517,0.014059919336465576,0.6482758620689657,0.17397141236038827,0.34827586206896555,0.496551724137931,0.2,116,116,5,8,1,32,0.22931034482758622,0.1831445177657081,5,"(8, 16)",32,0.007691054604947567,8,1,32,250,384,384,0.508695652173913,0.008695652173912993,0.5132743362831859,538,230,20,32,64,-0.009409988963677323,185.95465172788343,0.0013372017173107012,0.16551724137931031,0.07611634501601416,0.33448275862068966,0.33448275862068966,0.07611634501601422,0.6017241379310345,0.15113522069524912,0.5017241379310345,0.603448275862069,0.4,116,116,5,8,1,32,0.10948275862068965,0.14177300105723678,5,"(8, 16)",32
