model,jump_frequency,jump_count,jump_total_observations,jump_mean_abs_magnitude,jump_median_abs_magnitude,jump_p95_abs_magnitude
real,0.028103298611111112,259,9216,0.04462592725185354,0.03502042591571808,0.08673099428415298
jd_sbts,0.024522569444444444,226,9216,0.045857569799792726,0.03643748243546781,0.09255897345878589
jd_sbts_f,0.021375868055555556,197,9216,0.04317352130677584,0.03430260945457432,0.09095999171607945
jd_sbts_neural,0.019965277777777776,184,9216,0.04394316783133728,0.03471404749487739,0.09445331708477447
lightsb,0.052734375,486,9216,0.033295168468552364,0.03243991173803806,0.03993616718798876
rnn,0.001736111111111111,16,9216,0.03794378763996065,0.03456440567970276,0.05281301774084568
