,train_time,gen_time,generation_protocol,wasserstein_distance,acf_mse,gru_discriminative_score,gru_discriminative_score_std,gru_discriminative_class_balance_gap,gru_discriminative_effective_score,gru_discriminative_effective_score_std,gru_discriminative_accuracy,gru_discriminative_accuracy_std,gru_discriminative_pred_real_rate,gru_discriminative_pred_real_rate_on_real,gru_discriminative_pred_real_rate_on_generated,gru_discriminative_test_real_n,gru_discriminative_test_generated_n,gru_discriminative_repeats,gru_discriminative_hidden_dim,gru_discriminative_num_layers,gru_discriminative_batch_size,cnn_discriminative_score,cnn_discriminative_score_std,cnn_discriminative_repeats,cnn_discriminative_channels,cnn_discriminative_batch_size,predictive_score,predictive_hidden_dim,predictive_num_layers,predictive_batch_size,predictive_iterations,predictive_train_generated_n,predictive_test_real_n,turing_test_accuracy,turing_test_score,turing_test_auc,turing_test_train_n,turing_test_test_n,turing_test_epochs,turing_test_hidden_dim,turing_test_batch_size,stylized_volatility_clustering,stylized_fat_tails,stylized_leverage_effect
diffusion_ts,8.476288981000835,0.03299624200008111,shared_seed_only,0.001523606185823768,0.00012409347219879656,0.023376623376623374,0.019631449945235042,0.13766233766233765,0.13896103896103895,0.09404157867211287,0.4974025974025974,0.030415684230208753,0.6025974025974026,0.6,0.6051948051948052,154,154,5,8,1,32,0.01883116883116882,0.015826048840199936,5,"(8, 16)",32,0.009580088779330254,8,1,32,250,512,512,0.46579804560260585,0.03420195439739415,0.550891181988743,717,307,20,32,64,0.0025361140548348627,1.915839614798731,0.00019151073365864177
jd_sbts,18.871518211002694,0.059474843998032156,shared_x0,0.006975040103039756,0.002000139317116465,0.019480519480519452,0.013774807425711985,0.16103896103896104,0.16103896103896104,0.15295757439515945,0.4909090909090909,0.02205881526164028,0.6181818181818182,0.6090909090909091,0.6272727272727272,154,154,5,8,1,32,0.1292207792207792,0.0966507781282773,5,"(8, 16)",32,0.009481942281126976,8,1,32,250,512,512,0.46579804560260585,0.03420195439739415,0.5853232133719939,717,307,20,32,64,0.016992107389161678,7.306227834675214,-0.012862303084708048
jd_sbts_f,14.03887956700055,0.021542365997447632,shared_x0,0.006935981717354015,0.0023984009043030844,0.04285714285714285,0.030415684230208746,0.13246753246753246,0.13766233766233768,0.11423035849467318,0.5142857142857142,0.05057437007433962,0.612987012987013,0.6272727272727273,0.5987012987012987,154,154,5,8,1,32,0.07402597402597404,0.053325883552331976,5,"(8, 16)",32,0.009605892933905125,8,1,32,250,512,512,0.46579804560260585,0.03420195439739415,0.5674569333105919,717,307,20,32,64,0.01682039396067458,7.042998876124345,-0.01533003419211432
jd_sbts_neural,38.90395739900123,0.04096525299974019,shared_x0,0.006820341172761267,0.0020410025263708307,0.048701298701298704,0.016808024812395836,0.11883116883116884,0.12012987012987013,0.1112457253182585,0.5305194805194805,0.04150768003765426,0.5876623376623378,0.6181818181818182,0.5571428571428572,154,154,5,8,1,32,0.08896103896103896,0.06169172922864221,5,"(8, 16)",32,0.010904135182499886,8,1,32,250,512,512,0.46579804560260585,0.03420195439739415,0.5844277673545966,717,307,20,32,64,0.017203890460433947,7.391716905505428,-0.013275015520641625
lightsb,6.231772351999098,0.11815139900136273,shared_seed_only,0.002362078695625769,0.00011019779681156175,0.03116883116883117,0.02069789279286912,0.12857142857142853,0.14415584415584415,0.13300755726052896,0.48441558441558447,0.03401506715249037,0.6155844155844156,0.6,0.6311688311688312,154,154,5,8,1,32,0.02727272727272726,0.04109933090505625,5,"(8, 16)",32,0.009248397313058376,8,1,32,250,512,512,0.46579804560260585,0.03420195439739415,0.547778441071124,717,307,20,32,64,0.016644649048753325,0.16620453017780212,-0.006164788654178395
numba_sb,0.00046596600077464245,0.0073970589983218815,shared_seed_only,0.029272620403059696,0.0001598185275544746,0.029870129870129845,0.026087414839741124,0.04155844155844154,0.046753246753246734,0.017971886367659784,0.5272727272727272,0.028791947113500447,0.5194805194805194,0.5467532467532467,0.49220779220779215,154,154,5,8,1,32,0.3396103896103896,0.15905247349118262,5,"(8, 16)",32,0.009299766272306442,8,1,32,250,512,512,0.46579804560260585,0.03420195439739415,0.48541702200238784,717,307,20,32,64,0.010471153061379301,0.5694193985606595,-0.0034541207812922694
timegan,142.55036979299985,0.0011976009991485626,shared_seed_only,0.008002364439055722,0.00540847197190351,0.057792207792207784,0.03262300438202721,0.12142857142857144,0.12142857142857144,0.061657545301138796,0.5357142857142857,0.05593468952560528,0.4396103896103897,0.47532467532467526,0.4038961038961039,154,154,5,8,1,32,0.26233766233766237,0.17484783640766396,5,"(8, 16)",32,0.009240172803401947,8,1,32,250,512,512,0.46579804560260585,0.03420195439739415,0.4792341804536926,717,307,20,32,64,-0.026346248470602497,5.1909552819189795,-0.048775310011755856
