,generation_protocol,main_rank_mean,wasserstein_distance,acf_mse,predictive_score,gru_discriminative_effective_score,cnn_discriminative_score,stylized_score
lightsb,shared_seed_only,1.6666666666666667,0.002362078695625769,0.00011019779681156175,0.009248397313058376,0.14415584415584415,0.02727272727272726,0.9423982803994515
diffusion_ts,shared_seed_only,2.6666666666666665,0.001523606185823768,0.00012409347219879656,0.009580088779330254,0.13896103896103895,0.01883116883116882,0.9081765982769027
numba_sb,shared_seed_only,4.333333333333333,0.029272620403059696,0.0001598185275544746,0.009299766272306442,0.046753246753246734,0.3396103896103896,0.9438609341661541
jd_sbts,shared_x0,4.333333333333333,0.006975040103039756,0.002000139317116465,0.009481942281126976,0.16103896103896104,0.1292207792207792,0.5954868932756309
timegan,shared_seed_only,4.666666666666667,0.008002364439055722,0.00540847197190351,0.009240172803401947,0.12142857142857144,0.26233766233766237,0.6322192525287801
jd_sbts_neural,shared_x0,5.0,0.006820341172761267,0.0020410025263708307,0.010904135182499886,0.12012987012987013,0.08896103896103896,0.597601620910864
jd_sbts_f,shared_x0,5.333333333333333,0.006935981717354015,0.0023984009043030844,0.009605892933905125,0.13766233766233768,0.07402597402597404,0.5928790406221506
